Action,Column,Model_ID,Model_Revion_ID,Models value,Model Revisions value,Proposed write
BACKFILL,Core Type,M-EPBC-0002,MR-EPBC-0002-V1,None,,None
BACKFILL,Core Type,M-FIEN-0004,MR-FIEN-0004-V1,None,,None
BACKFILL,Core Type,M-GEPO-0001,MR-GEPO-0001-V1,None,,None
BACKFILL,Core Type,M-GEPO-0003,MR-GEPO-0003-V1,None,,None
BACKFILL,Core Type,M-GEPO-0004,MR-GEPO-0004-V1,None,,None
BACKFILL,Core Type,M-GEPO-0007,MR-GEPO-0007-V1,None,,None
BACKFILL,Core Type,M-GEPO-0011,MR-GEPO-0011-V1,None,,None
BACKFILL,Core Type,M-GEPO-0014,MR-GEPO-0014-V1,None,,None
BACKFILL,Core Type,M-GEPO-0015,MR-GEPO-0015-V1,None,,None
BACKFILL,Core Type,M-GEPO-0017,MR-GEPO-0017-V1,None,,None
BACKFILL,Core Type,M-HYQU-0003,MR-HYQU-0003-V1,None,,None
BACKFILL,Core Type,M-HYQU-0004,MR-HYQU-0004-V1,Cogent,,Cogent
BACKFILL,Core Type,M-HYQU-0026,MR-HYQU-0026-V1,None,,None
BACKFILL,Core Type,M-HYQU-0027,MR-HYQU-0027-V1,None,,None
BACKFILL,Core Type,M-HYQU-0028,MR-HYQU-0028-V1,None,,None
BACKFILL,Core Type,M-HYQU-0029,MR-HYQU-0029-V1,None,,None
BACKFILL,Core Type,M-HYQU-0030,M-HYQU-0030,None,,None
BACKFILL,Core Type,M-HYQU-0031,MR-HYQU-0031-V1,None,,None
BACKFILL,Core Type,M-HYQU-0032,MR-HYQU-0032-V1,None,,None
BACKFILL,Core Type,M-HYQU-0033,MR-HYQU-0033-V1,None,,None
BACKFILL,Core Type,M-HYQU-0035,MR-HYQU-0035-V1,None,,None
BACKFILL,Core Type,M-HYQU-0036,MR-HYQU-0036-V1,None,,None
BACKFILL,Core Type,M-HYQU-0093,M-HYQU-0093,None,,None
BACKFILL,Core Type,M-HYQU-0094,MR-HYQU-0094-V1,None,,None
BACKFILL,Core Type,M-HYQU-0095,MR-HYQU-0095-V1,None,,None
BACKFILL,Core Type,M-KORT-0005,M-KORT-0005,None,,None
BACKFILL,Core Type,M-LGEN-0002,MR-LGEN-0002-V1,None,,None
BACKFILL,Core Type,M-LGEN-0005,MR-LGEN-0005-V1,None,,None
BACKFILL,Core Type,M-LISA-0005,MR-LISA-0005-V1,None,,None
BACKFILL,Core Type,M-MAGA-0001,MR-MAGA-0001-V1,None,,None
BACKFILL,Core Type,M-MAGA-0002,MR-MAGA-0002-V1,None,,None
BACKFILL,Core Type,M-MAGA-0003,MR-MAGA-0003-V1,None,,None
BACKFILL,Core Type,M-MAGA-0004,MR-MAGA-0004-V1,None,,None
BACKFILL,Core Type,M-MAGA-0005,MR-MAGA-0005-V1,None,,None
