Order,Engineering Required,LDs,Engineering Required state,LDs state
22101-1/1,,,blank,blank
21971-8/8,N,,N,blank
21917-1/1,Y,,Y,blank
21991-2/3,N,,N,blank
21939-1/1,Y,,Y,blank
21793-4/5,N,Y,N,Y
22100-1/2,,,blank,blank
21793-5/5,N,Y,N,Y
21929-1/1,N,,N,blank
21803-7/8,N,Y,N,Y
21983-1/1,N,,N,blank
22005-1/2,Y,,Y,blank
22005-2/2,Y,,Y,blank
21991-3/3,N,,N,blank
22100-2/2,,,blank,blank
21803-8/8,N,Y,N,Y
22006-1/2,Y,,Y,blank
21967-2/5,N,,N,blank
22006-2/2,Y,,Y,blank
21972-1/1,N,,N,blank
22117-1/2,,,blank,blank
21993-1/8,Y,,Y,blank
22109-1/1,,,blank,blank
21993-2/8,Y,,Y,blank
21938-1/1,Y,,Y,blank
21993-3/8,Y,,Y,blank
22117-2/2,,,blank,blank
21831-1/5,N,Y,N,Y
22007-1/2,N,,N,blank
21831-2/5,N,Y,N,Y
22143-1/6,,,blank,blank
21831-3/5,N,Y,N,Y
22143-2/6,,,blank,blank
22007-2/2,N,,N,blank
22143-3/6,,,blank,blank
21967-3/5,N,,N,blank
22136-1/1,,,blank,blank
21831-4/5,N,Y,N,Y
22143-4/6,,,blank,blank
21831-5/5,N,Y,N,Y
22143-5/6,,,blank,blank
22143-6/6,,,blank,blank
21967-4/5,N,,N,blank
21959-1/2,N,,N,blank
21979-1/1,Y,,Y,blank
22142-1/1,,,blank,blank
21993-4/8,Y,,Y,blank
21959-2/2,N,,N,blank
21830-1/5,N,Y,N,Y
22133-1/1,,,blank,blank
21830-2/5,N,Y,N,Y
21960-1/2,N,,N,blank
21967-5/5,N,,N,blank
21960-2/2,N,,N,blank
21993-5/8,Y,,Y,blank
21961-1/2,N,,N,blank
21993-6/8,Y,,Y,blank
22138-1/2,,,blank,blank
21795-1/5,N,Y,N,Y
21961-2/2,N,,N,blank
21795-2/5,N,Y,N,Y
22008-1/2,N,,N,blank
21993-7/8,Y,,Y,blank
22138-2/2,,,blank,blank
22017-1/3,Y,,Y,blank
22008-2/2,N,,N,blank
22017-2/3,Y,,Y,blank
22139-1/2,,,blank,blank
21521-1/1,Y,N,Y,N
22139-2/2,,,blank,blank
21795-3/5,N,Y,N,Y
22102-1/1,,,blank,blank
21832-1/11,N,Y,N,Y
22140-1/2,,,blank,blank
21993-8/8,Y,,Y,blank
22140-2/2,,,blank,blank
22017-3/3,Y,,Y,blank
22141-1/2,,,blank,blank
21795-4/5,N,Y,N,Y
22141-2/2,,,blank,blank
21830-3/5,N,Y,N,Y
